"","x"
"1152","KY-140"
"1153","KY-140"
"1154","KY-140"
"1155","IN-140"
"1156","IN-140"
"1157","IN-140"
"1158","IN-140"
"1159","IN-140"
"1160","OH-140"
"1161","OH-140"
"1162","OH-140"
"1163","OH-140"
"1164","OH-140"
"1165","OH-140"
"1166","OH-140"
"1167","OH-140"
"1168","OH-140"
"1169","OH-140"
"1170","IN-140"
"1171","IN-140"
"1172","IN-140"
"1173","IN-140"
"1174","IN-140"
"1175","KY-140"
"1176","KY-140"
"1177","KY-140"
"1178","KY-140"
"1179","KY-140"
"1180","OH-140"
"1181","OH-140"
"1182","OH-140"
"1183","OH-140"
"1184","OH-140"
"1185","KY-140"
"1186","KY-140"
"1187","KY-140"
"1188","KY-140"
"1189","KY-140"
"1190","OH-140"
"1191","OH-140"
"1192","OH-140"
"1193","OH-140"
"1194","OH-140"
"1195","KY-140"
"1196","KY-140"
"1197","KY-140"
"1198","KY-140"
"1199","KY-140"
"1200","OH-140"
"1201","OH-140"
"1202","OH-140"
"1203","OH-140"
"1204","OH-140"
"1205","NH-200"
"1206","NH-200"
"1207","NH-200"
"1208","NH-200"
"1209","NH-200"
"1210","VT-200"
"1211","VT-200"
"1212","VT-200"
"1213","VT-200"
"1214","VT-200"
"1215","VT-200"
"1216","VT-200"
"1217","VT-200"
"1218","VT-200"
"1219","VT-200"
"1220","NH-200"
"1221","NH-200"
"1222","NH-200"
"1223","NH-200"
"1224","NH-200"
"1225","WV-220"
"1226","WV-220"
"1227","WV-220"
"1228","WV-220"
"1229","WV-220"
"1230","WV-220"
"1231","WV-220"
"1232","WV-220"
"1233","WV-220"
"1234","WV-220"
"1235","WV-220"
"1236","WV-220"
"1237","WV-220"
"1238","WV-220"
"1239","WV-220"
"1240","TN-300"
"1241","TN-300"
"1242","TN-300"
"1243","TN-300"
"1244","TN-300"
"1245","KY-300"
"1246","KY-300"
"1247","KY-300"
"1248","KY-300"
"1249","KY-300"
"1250","KY-300"
"1251","KY-300"
"1252","KY-300"
"1253","KY-300"
"1254","KY-300"
"1255","MS-380"
"1256","MS-380"
"1257","MS-380"
"1258","MS-380"
"1259","MS-380"
"1260","OH-460"
"1261","OH-460"
"1262","OH-460"
"1263","OH-460"
"1264","OH-460"
"1265","OH-460"
"1266","OH-460"
"1267","OH-460"
"1268","OH-460"
"1269","OH-460"
"1270","OH-460"
"1271","OH-460"
"1272","OH-460"
"1273","OH-460"
"1274","OH-460"
"1275","OH-460"
"1276","OH-460"
"1277","OH-460"
"1278","OH-460"
"1279","OH-460"
"1280","OH-460"
"1281","OH-460"
"1282","OH-460"
"1283","OH-460"
"1284","OH-460"
"1285","MI-740"
"1286","MI-740"
"1287","MI-740"
"1288","MI-740"
"1289","MI-740"
"1290","TX-780"
"1291","TX-780"
"1292","TX-780"
"1293","TX-780"
"1294","TX-780"
"1295","TX-780"
"1296","TX-780"
"1297","TX-780"
"1298","TX-780"
"1299","TX-780"
"1300","TX-780"
"1301","TX-780"
"1302","TX-780"
"1303","TX-780"
"1304","TX-780"
"1305","MO-860"
"1306","MO-860"
"1307","MO-860"
"1308","MO-860"
"1309","MO-860"
"1310","SC-900"
"1311","SC-900"
"1312","SC-900"
"1313","SC-900"
"1314","SC-900"
